N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
103,한화시스템,"17,650",150,+0.86%,"5,000","33,344","188,919",2.95,"757,387",19.14,9.35,
104,호텔신라,"84,700","1,900",-2.19%,"5,000","33,243","39,248",16.85,"271,817",-25.76,-36.74,
105,두산퓨얼셀,"50,300","1,600",-3.08%,100,"32,943","65,494",13.58,"315,305",838.33,4.18,
106,효성첨단소재,"727,000","6,000",-0.82%,"5,000","32,569","4,480",13.93,"64,522",22.15,0.03,
107,한미약품,"268,000","7,000",-2.55%,"2,500","32,370","12,078",13.42,"20,674",140.17,1.65,
108,한국항공우주,"33,050",50,+0.15%,"5,000","32,216","97,475",13.36,"385,766",163.61,6.39,
109,에스원,"82,900",700,-0.84%,500,"31,501","37,999",53.92,"20,924",21.49,10.48,
110,한화생명,"3,555",55,-1.52%,"5,000","30,876","868,530",8.08,"1,729,311",5.63,1.90,
111,신풍제약,"57,900",700,+1.22%,500,"30,678","52,985",7.39,"586,479",965.00,1.72,
112,씨에스윈드,"71,900","5,800",-7.46%,500,"30,321","42,171",11.36,"845,512",50.99,8.19,
113,포스코인터내셔널,"24,500",600,+2.51%,"5,000","30,227","123,375",9.12,"1,111,232",10.26,7.69,
114,BGF리테일,"169,500","1,000",-0.59%,"1,000","29,296","17,284",33.21,"6,834",20.88,18.60,
115,BNK금융지주,"8,870",30,+0.34%,"5,000","28,910","325,935",39.45,"1,173,414",4.27,6.11,
116,LG화학우,"374,500","1,000",-0.27%,"5,000","28,795","7,689",69.57,"9,172",10.09,N/A,
117,롯데쇼핑,"101,500","1,000",-0.98%,"5,000","28,713","28,289",10.24,"40,796",-4.96,-7.70,
118,동서,"28,700",500,-1.71%,500,"28,614","99,700",3.19,"44,004",26.48,8.61,
119,더존비즈온,"93,600","2,500",-2.60%,500,"28,399","30,341",41.73,"81,823",45.61,15.09,
120,대우조선해양,"26,450",450,-1.67%,"5,000","28,378","107,291",6.75,"154,241",-1.95,2.27,
121,CJ,"97,000","1,800",-1.82%,"5,000","28,302","29,177",17.80,"37,090",66.30,1.89,
122,키움증권,"106,000","4,000",-3.64%,"5,000","27,793","26,220",24.55,"64,359",2.85,27.63,
