번호,인허가일자,상세영업상태코드,폐업일자,소재지우편번호,소재지전체주소,도로명전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,좌표정보(x),좌표정보(y),다중이용업소여부,시설총규모
16673,20180710,2,20200102,613832,부산광역시 수영구 수영동 489-35번지,"부산광역시 수영구 구락로57번길 11, 1층 (수영동)",제제,2.02001E+13,U,2020-01-04 02:40:00.0,392862.9711,187941.4029,N,74.75
16674,20180711,2,20210607,613805,부산광역시 수영구 광안동 181-25,"부산광역시 수영구 수영로510번길 19, 1층 (광안동)",은서,2.02106E+13,U,2021-06-09 02:40:00.0,392436.7238,185600.3715,N,48
16678,19990323,2,20000414,609840,부산광역시 금정구 장전동 488-17번지,,만남,2.00108E+13,I,2018-08-31 23:59:59.0,,,N,0
16680,19990611,2,20000403,609830,부산광역시 금정구 서동 338-5번지,,프로포즈,2.00108E+13,I,2018-08-31 23:59:59.0,391366.2899,192705.3896,N,0
16682,19990716,2,19991217,609839,부산광역시 금정구 장전동 312-3번지 25/6,,비를적시는샘,2.00108E+13,I,2018-08-31 23:59:59.0,389886.8492,194319.9454,N,0
16685,19990810,2,20000131,609837,부산광역시 금정구 장전동 152-18번지,,비상전화,2.00108E+13,I,2018-08-31 23:59:59.0,389655.6027,195076.3179,N,0
16688,19990830,2,20000121,609839,부산광역시 금정구 장전동 342-17번지,,롯데리치빌,2.00108E+13,I,2018-08-31 23:59:59.0,389814.1161,194024.6745,N,0
16689,19990901,2,20141229,609841,부산광역시 금정구 장전동 519-10번지,부산광역시 금정구 식물원로 75 (장전동),송간조,2.00702E+13,I,2018-08-31 23:59:59.0,389316.087,193798.891,N,46.05
16690,20010309,2,20021121,609824,부산광역시 금정구 부곡동 395-8번지,,길,2.00201E+13,I,2018-08-31 23:59:59.0,390084.0684,193133.9953,N,0
16692,19991222,2,20000526,609827,부산광역시 금정구 서동 302-122번지,,시나브로,2.00201E+13,I,2018-08-31 23:59:59.0,391296.4812,192716.2824,N,0
16693,20000113,2,20200622,609813,부산광역시 금정구 남산동 21-4번지,부산광역시 금정구 중앙대로 2097 (남산동),마야,2.02006E+13,U,2020-06-24 02:40:00.0,390321.7061,198928.6398,Y,83.33
16698,19691016,2,19991228,609822,부산광역시 금정구 부곡동 267-83번지,,학,2.00108E+13,I,2018-08-31 23:59:59.0,390191.4154,194404.5388,N,0
16699,20010818,2,20040527,619906,부산광역시 기장군 기장읍 청강리 288-1번지,,청해다방,2.0011E+13,I,2018-08-31 23:59:59.0,401787.8918,195087.4292,N,34.2
16700,20011217,2,20080808,619906,부산광역시 기장군 기장읍 청강리 255번지,,대운다방,2.00712E+13,I,2018-08-31 23:59:59.0,401895.0869,195291.7317,N,80.08
16702,20020601,2,20030430,619905,부산광역시 기장군 기장읍 동부리 134-0번지,,한신다방,2.00206E+13,I,2018-08-31 23:59:59.0,,,N,0
16703,20021210,2,20140528,619903,부산광역시 기장군 기장읍 대라리 148-9번지,부산광역시 기장군 기장읍 대청로45번길 19,우리다방,2.01308E+13,I,2018-08-31 23:59:59.0,401575.9024,195522.7569,Y,71.36
16704,20030716,2,20060303,619904,부산광역시 기장군 기장읍 대변리 423-0번지,,미니다방,2.00307E+13,I,2018-08-31 23:59:59.0,402750.9928,194137.6077,N,18.46
16708,20040813,2,20050930,619903,"부산광역시 기장군 기장읍 대라리 413-2번지 ,4",,발리커피숖,2.00508E+13,I,2018-08-31 23:59:59.0,401404.9108,195923.7406,N,68.19
16709,20040907,2,20090518,619952,부산광역시 기장군 장안읍 길천리 190-8번지,,보리수커피숖,2.00606E+13,I,2018-08-31 23:59:59.0,,,N,66.01
16710,20041005,2,20070402,619952,부산광역시 기장군 장안읍 길천리 190-12번지,,초이스,2.00704E+13,I,2018-08-31 23:59:59.0,407593.3507,205459.1225,N,47.04
16715,20050520,2,20090326,619951,부산광역시 기장군 장안읍 장안리 511-1번지,,도예향,2.00505E+13,I,2018-08-31 23:59:59.0,403681.672,210284.5158,N,74.02
16718,19940509,2,20060217,607843,부산광역시 동래구 온천동 1464-12번지,,동진다방,2.00208E+13,I,2018-08-31 23:59:59.0,388407.9719,191180.4549,N,54.56
16723,20051006,2,20141007,619903,부산광역시 기장군 기장읍 대라리 57번지,부산광역시 기장군 기장읍 차성동로 63,마고스부산기장점,2.0051E+13,I,2018-08-31 23:59:59.0,401671.5594,196027.5163,N,8.72
16726,20060124,2,20080527,619905,부산광역시 기장군 기장읍 동부리 274-13번지,,한울,2.00602E+13,I,2018-08-31 23:59:59.0,401690.013,196273.8133,N,64.65
16727,20070822,2,20140728,619906,부산광역시 기장군 기장읍 청강리 135-4번지,부산광역시 기장군 기장읍 기장대로 504-5,산장커피숍,2.01401E+13,I,2018-08-31 23:59:59.0,402101.5963,195655.1187,N,52.62
